values,time_s,h,m,s
0.08,4:43:20,4,43,20
0.08,4:43:40,4,43,40
0.08,4:44:00,4,44,0
0.08,4:44:20,4,44,20
0.04,4:44:40,4,44,40
0.12,4:45:00,4,45,0
0.11,4:45:20,4,45,20
0.05,4:45:40,4,45,40
0.02,4:46:00,4,46,0
0.14,4:46:20,4,46,20
0.09,4:46:40,4,46,40
0.07,4:47:00,4,47,0
0.02,4:47:20,4,47,20
0.14,4:47:40,4,47,40
0.11,4:48:00,4,48,0
0.05,4:48:20,4,48,20
0.11,4:48:40,4,48,40
0.05,4:49:00,4,49,0
0.04,4:49:20,4,49,20
0.12,4:49:40,4,49,40
0.03,4:50:00,4,50,0
